County,Fips,Topic,Subtopic,Year,Measure,Value,State Value,Number,"Crude Rate per 100,000",Crude Rate (per 500 pop.),Lower Limit,Upper Limit,People per License,Total Licenses,Type A Licenses,Type B Licenses,Type C Licenses,Type Unknown Licenses
Adams,55001,Alcohol,Hospitalizations,2000,"Crude Rate per 100,000",982.69,827.88,,982.69,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2000,Lower Limit,845.46,820.18,,,,845.46,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2000,Number,197,44490,197,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2000,Upper Limit,1119.92,835.57,,,,,1119.92,,,,,,
Adams,55001,Alcohol,Hospitalizations,2001,"Crude Rate per 100,000",1012.93,843.3,,1012.93,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2001,Lower Limit,874.61,835.56,,,,874.61,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2001,Number,206,45596,206,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2001,Upper Limit,1151.26,851.04,,,,,1151.26,,,,,,
Adams,55001,Alcohol,Hospitalizations,2002,"Crude Rate per 100,000",971.91,840.84,,971.91,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2002,Lower Limit,837.21,833.14,,,,837.21,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2002,Number,200,45785,200,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2002,Upper Limit,1106.61,848.54,,,,,1106.61,,,,,,
Adams,55001,Alcohol,Hospitalizations,2003,"Crude Rate per 100,000",862.24,831.54,,862.24,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2003,Lower Limit,735.57,823.91,,,,735.57,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2003,Number,178,45562,178,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2003,Upper Limit,988.91,839.18,,,,,988.91,,,,,,
Adams,55001,Alcohol,Hospitalizations,2004,"Crude Rate per 100,000",534.32,860.64,,534.32,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2004,Lower Limit,434.92,852.9,,,,434.92,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2004,Number,111,47456,111,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2004,Upper Limit,633.72,868.38,,,,,633.72,,,,,,
Adams,55001,Alcohol,Hospitalizations,2005,"Crude Rate per 100,000",740.18,877.78,,740.18,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2005,Lower Limit,624.4,869.98,,,,624.4,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2005,Number,157,48683,157,,,,,,,,,,
Adams,55001,Alcohol,Hospitalizations,2005,Upper Limit,855.96,885.57,,,,,855.96,,,,,,
